locus_tag	abundance	source_gene_id
M744_RS01170	255.5096	Synpcc7942_0356
M744_RS01175	405.0160	Synpcc7942_0355
M744_RS01180	179.9441	Synpcc7942_0354
M744_RS01185	251.0379	Synpcc7942_0353
M744_RS01190	317.0451	Synpcc7942_0352
M744_RS01195	266.9496	Synpcc7942_0351
M744_RS01200	140.5025	Synpcc7942_0350
M744_RS01205	355.9702	Synpcc7942_0349
M744_RS01210	873.4134	Synpcc7942_0348
M744_RS01215	270.8090	Synpcc7942_0346
M744_RS01220	114.2049	Synpcc7942_0345
M744_RS01225	772.5251	Synpcc7942_0344
M744_RS01230	1476.1263	Synpcc7942_0343
M744_RS01235	171.4722	Synpcc7942_0342
M744_RS01240	121.4361	Synpcc7942_0341
M744_RS01245	149.3125	Synpcc7942_0340
M744_RS01250	210.2967	Synpcc7942_0339
M744_RS01260	326.1606	Synpcc7942_0338
M744_RS01265	3356.3780	Synpcc7942_0337
M744_RS01275	2095.7543	Synpcc7942_0335
M744_RS01280	3083.7914	Synpcc7942_0334
M744_RS01285	4156.0604	Synpcc7942_0333
M744_RS01290	9062.6282	Synpcc7942_0332
M744_RS01295	16856.2530	Synpcc7942_0331
M744_RS01300	10455.3458	Synpcc7942_0330
M744_RS01305	158.4105	Synpcc7942_0329
M744_RS01310	25490.0943	Synpcc7942_0328
M744_RS01315	34058.5725	Synpcc7942_0327
M744_RS01320	37127.8494	Synpcc7942_0326
M744_RS01325	23434.3981	Synpcc7942_0325
M744_RS01330	930.4438	Synpcc7942_0324
M744_RS01335	385.5185	Synpcc7942_0323
M744_RS01340	428.6414	Synpcc7942_0322
M744_RS01345	7116.6146	Synpcc7942_0321
M744_RS01350	104.9163	Synpcc7942_0320
M744_RS01355	214.6142	Synpcc7942_0319
M744_RS01360	560.5748	Synpcc7942_0318
M744_RS01365	354.6899	Synpcc7942_0317
M744_RS01370	3542.7298	Synpcc7942_0316
M744_RS01375	2758.6341	Synpcc7942_0315
M744_RS01380	74.6512	Synpcc7942_0314
M744_RS01385	331.9963	Synpcc7942_0313
M744_RS01390	211.0191	Synpcc7942_0312
M744_RS01395	96.9677	Synpcc7942_0311
M744_RS01400	99.4463	Synpcc7942_0310
M744_RS01405	1356.8937	Synpcc7942_0309
M744_RS01410	658.0913	Synpcc7942_0308
M744_RS01415	401.7987	Synpcc7942_0307
M744_RS01425	301.5550	Synpcc7942_0305
M744_RS01430	369.3847	Synpcc7942_0304
M744_RS01435	49.0713	Synpcc7942_0303
M744_RS01440	50.0710	Synpcc7942_0302
M744_RS01445	1056.4502	Synpcc7942_0301
M744_RS01450	614.8369	Synpcc7942_0300
M744_RS01455	105.2991	Synpcc7942_0299
M744_RS01460	92.8111	Synpcc7942_0298
M744_RS01465	9063.5148	Synpcc7942_0297
M744_RS01470	921.7652	Synpcc7942_0296
M744_RS01475	1671.8051	Synpcc7942_0295
M744_RS01480	11462.8692	Synpcc7942_0294
M744_RS01485	74.2089	Synpcc7942_0293
M744_RS01490	193.7108	Synpcc7942_0292
M744_RS01495	279.6230	Synpcc7942_0291
M744_RS01505	227.6291	Synpcc7942_0290
M744_RS01510	4871.7648	Synpcc7942_0289
M744_RS01515	479.0731	Synpcc7942_0288
M744_RS01525	148.8672	Synpcc7942_0286
M744_RS01530	933.5573	Synpcc7942_0285
M744_RS01535	628.5638	Synpcc7942_0284
M744_RS01540	92.9810	Synpcc7942_0283
M744_RS01545	1940.0931	Synpcc7942_0282
M744_RS01550	374.6222	Synpcc7942_0281
M744_RS01555	208.1151	Synpcc7942_0280
M744_RS01560	225.5297	Synpcc7942_0279
M744_RS01565	41.2355	Synpcc7942_0278
M744_RS01570	286.4326	Synpcc7942_0277
