locus_tag	abundance	source_gene_id
M744_RS02250	743.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02260	404.250000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02265	302.625000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02275	42740.125000	Tan2018_dRNAseq_TSS_count_sum_5TSS
M744_RS02280	3866.875000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02285	5822.375000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02290	295.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02295	488.125000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02300	1290.125000	Tan2018_dRNAseq_TSS_count_sum_4TSS
M744_RS02305	1371.250000	Tan2018_dRNAseq_TSS_count_sum_4TSS
M744_RS02310	393.875000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02315	951.625000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS02325	449.000000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02330	1570.375000	Tan2018_dRNAseq_TSS_count_sum_4TSS
M744_RS02335	708.125000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02340	171.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02360	243.250000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02375	217.250000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02380	1117.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02385	1671.500000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02390	435.750000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02400	1825.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02405	2149.375000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02410	320.750000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02415	999.375000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02420	273.250000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02425	1407.125000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02430	548.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02440	315.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02460	1312.250000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02465	3978.000000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS02470	100.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02475	189.375000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02480	220.625000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02485	99.250000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02500	3863.375000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02510	242.375000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02520	2729.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02525	653.000000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02540	8647.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02545	1989.375000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02550	8524.125000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS02555	1310.250000	Tan2018_dRNAseq_TSS_count_sum_6TSS
M744_RS02560	2221.625000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02570	325.125000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02575	5029.000000	Tan2018_dRNAseq_TSS_count_sum_4TSS
M744_RS02585	562.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
